Sl. No.,State/UT,Cases Pending Investigation from Previous Year - ( Col. 3),Cases Reported during the year - ( Col. 4),Cases Reopened for Investigation - ( Col. 5),Total Cases for Investigation (Col.3+Col.4+Col.5) - ( Col. 6),Cases Not Investigated Under 157_1_b CRPC - ( Col. 7),Cases Transferred to Other State or Agency - ( Col. 8),Cases Withdrawn by the Govt during Investigation - ( Col. 9),Final Report - Cases Ended as FR Non Cognizable - ( Col. 10),Final Report - Cases Ended as Final Report False - ( Col. 11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - ( Col. 12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - ( Col. 13),Final Report - Cases Abated during Investigation - ( Col. 14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - ( Col. 15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - ( Col. 16),Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - ( Col. 17),Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - ( Col. 18),Total Cases Disposed Off by Police (Col.7+8+15+ 18) - ( Col. 19),Cases Quashed at Investigation Stage - ( Col. 20),Cases Stayed at Investigation Stage - ( Col. 21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - ( Col. 22),Chargesheeting Rate (Col.18/19 *100) - ( Col. 23),Pendency Percentage (Col.22/6*100) - ( Col. 24)
1,Andhra Pradesh,13874,22418,4,36296,0,17,0,1,643,223,158,30,1055,7373,13807,21180,22252,17,17,14027,95.2,38.6
2,Arunachal Pradesh,297,326,0,623,0,0,0,0,13,59,30,0,102,68,187,255,357,0,0,266,71.4,42.7
3,Assam,8754,12070,50,20874,0,19,0,59,282,1433,4177,3,5954,3419,7773,11192,17165,0,0,3709,65.2,17.8
4,Bihar,21146,22952,388,44486,0,1,0,44,760,4434,394,0,5632,8021,9349,17370,23003,0,0,21483,75.5,48.3
5,Chhattisgarh,1714,8035,0,9749,0,1,0,3,1608,126,48,38,1823,542,5389,5931,7755,0,14,1994,76.5,20.5
6,Goa,96,286,0,382,0,0,0,0,0,48,22,1,71,46,158,204,275,1,0,106,74.2,27.7
7,Gujarat,1051,7805,0,8856,0,0,2,1,15,482,338,12,848,438,6417,6855,7703,88,74,1063,89.0,12.0
8,Haryana,3885,15758,19,19662,0,10,0,1,6680,36,348,0,7065,1842,7145,8987,16062,4,0,3596,56.0,18.3
9,Himachal Pradesh,292,1604,0,1896,0,0,0,0,288,97,14,28,427,201,945,1146,1573,1,0,322,72.9,17.0
10,Jharkhand,9840,6989,0,16829,0,0,0,92,109,361,1127,12,1701,2809,3544,6353,8054,7,0,8768,78.9,52.1
11,Karnataka,6792,20336,1,27129,5,345,0,0,2497,815,241,7,3560,4997,11891,16888,20798,24,111,6307,81.2,23.2
12,Kerala,3776,16025,34,19835,0,4,0,0,484,153,350,0,987,2746,12088,14834,15825,34,6,3976,93.7,20.0
13,Madhya Pradesh,4242,32342,0,36584,0,2,0,93,5335,83,207,131,5849,1555,23786,25341,31192,7,0,5385,81.2,14.7
14,Maharashtra,30133,47101,1,77235,0,122,0,153,456,7307,777,48,8741,12542,24874,37416,46279,66,1,30890,80.8,40.0
15,Manipur,1512,201,0,1713,0,0,0,0,0,0,38,0,38,50,37,87,125,0,1,1588,69.6,92.7
16,Meghalaya,812,628,0,1440,0,1,0,0,2,13,129,2,146,141,300,441,588,1,0,851,75.0,59.1
17,Mizoram,21,184,0,205,0,0,0,0,0,2,2,0,4,1,180,181,185,0,3,20,97.8,9.8
18,Nagaland,20,56,0,76,0,0,0,0,0,1,11,0,12,5,34,39,51,0,0,25,76.5,32.9
19,Odisha,6618,25914,0,32532,0,0,0,0,46,4866,1710,0,6622,3435,14808,18243,24865,0,0,7667,73.4,23.6
20,Punjab,6840,5258,3,12101,0,3,0,0,952,389,233,2,1576,2491,1915,4406,5985,130,2,5986,73.6,49.5
21,Rajasthan,3931,45450,0,49381,3,2,0,94,12373,7512,123,10,20112,1721,21546,23267,43384,4,8,5993,53.6,12.1
22,Sikkim,64,134,0,198,0,2,0,0,0,0,28,0,28,12,86,98,128,0,0,70,76.6,35.4
23,Tamil Nadu,9039,8943,19,18001,0,36,0,0,17,374,301,22,714,3052,4566,7618,8368,42,5,9591,91.0,53.3
24,Telangana,6693,23678,22,30393,0,36,0,0,1071,1320,229,21,2641,4712,15179,19891,22568,4,0,7821,88.1,25.7
25,Tripura,162,791,4,957,0,0,0,0,5,61,17,0,83,109,609,718,801,0,0,156,89.6,16.3
26,Uttar Pradesh,10539,66381,408,77328,0,6,0,1,944,2208,12634,0,15787,6813,46509,53322,69115,0,0,8213,77.1,10.6
27,Uttarakhand,2058,3808,0,5866,0,1,0,0,55,0,1057,0,1112,653,2115,2768,3881,0,0,1985,71.3,33.8
28,West Bengal,10024,34691,16,44731,0,26,0,2,125,1165,799,0,2091,5893,26334,32227,34344,1,8,10386,93.8,23.2
Total State (S),Total State (S),164225,430164,969,595358,8,634,2,544,34760,33568,25542,367,94781,75687,261571,337258,432681,431,250,162244,77.9,27.3
29,Andaman and Nicobar Islands,7,205,0,212,0,0,0,0,1,7,7,0,15,4,178,182,197,0,0,15,92.4,7.1
30,Chandigarh,418,371,0,789,0,0,0,0,0,136,9,0,145,150,102,252,397,53,0,339,63.5,43.0
31,Dadra and Nagar Haveli and Daman and Diu,42,124,0,166,0,0,0,0,0,33,1,1,35,14,71,85,120,0,0,46,70.8,27.7
32,Delhi,19411,13439,0,32850,0,0,0,0,0,3833,634,5,4472,5689,4691,10380,14852,290,0,17708,69.9,53.9
33,Jammu and Kashmir,1721,3653,18,5392,0,0,0,0,1047,4,48,0,1099,445,2129,2574,3673,17,90,1702,70.1,31.6
34,Ladakh,5,20,0,25,0,0,0,0,0,2,1,0,3,1,10,11,14,1,0,10,78.6,40.0
35,Lakshadweep,32,23,0,55,0,0,0,0,0,2,2,0,4,11,6,17,21,0,0,34,81.0,61.8
36,Puducherry,100,212,0,312,0,0,0,0,0,13,0,0,13,39,139,178,191,0,0,121,93.2,38.8
Total UT (S),Total UT (S),21736,18047,18,39801,0,0,0,0,1048,4030,702,6,5786,6353,7326,13679,19465,361,90,19975,70.3,50.2
Total All India,Total All India,185961,448211,987,635159,8,634,2,544,35808,37598,26244,373,100567,82040,268897,350937,452146,792,340,182219,77.6,28.7
